"Date","Year","Month","Fraction","Depth","Monitoring.Location.ID","Result.Unit","Nitrogen","Phosphate-phosphorus","NP_mass","NP_mol"
1991-05-23,1991,5,"Dissolved","Surface",4917390,"mg/l",NA,0.031,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917400,"mg/l",NA,0.032,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917410,"mg/l",NA,0.029,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917420,"mg/l",NA,0.024,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917500,"mg/l",NA,0.022,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917510,"mg/l",NA,0.028,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917520,"mg/l",NA,0.039,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917620,"mg/l",NA,0.03,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917700,"mg/l",NA,0.022,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917710,"mg/l",NA,0.023,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917770,"mg/l",NA,0.017,NA,NA
