UID,PTL,Total_phosphorus_mgL,Total_nitrogen_mgL,Chlorophyll_a_ugL,Secchi_m,TNTP_mol,Comment,TSIchl,TSItp,TSIsd
6279,14.8,0.0148,0.265,0.8,12.3,39.5946348,,28.4109617616076,42.413705966935,23.8366746291277
6281,147,0.147,0.554,13.056,0.29,8.333829537,,55.8043209005554,75.0141427322581,77.8377694699833
6284,16,0.016,0.136,1.16,3.15,18.7962455,,32.0560002502103,43.5207598558049,43.465930654611
6285,50,0.05,0.823,44.26666667,1.1,36.39837658,,67.7821754142898,59.7007266770797,58.6265803090197
6286,26,0.026,0.658,31.2,2.45,55.96348208,,64.3505015101394,50.4149708399051,47.0873715661389
6293,112,0.112,1.033,6.896,1.75,20.39550588,,49.5425364422753,71.1526839723903,51.9359364958506
6300,30,0.03,0.505,18,2.55,37.22393717,,58.9545469449614,52.4470028196026,46.5108946943555
6302,46,0.046,0.838,17.44,0.29,40.28453639,,58.644498565297,58.5167078301452,77.8377694699833
6303,22,0.022,0.166,0.05,2.55,16.68543718,ChlA = 0 set to 0.05,1.21186639643535,48.0428028376881,46.5108946943555
6318,834,0.834,2.8,74.2,28,7.424105995,,72.8493563132004,99.6625143134942,11.9829330083753
6319,231,0.231,1.231,23.521,0.1,11.78414984,,61.5789365998987,81.4323314894095,93.1802511900442
6320,71,0.071,1.204,0.05,,37.49905482,,1.21186639643535,64.6800542539867,
6321,61,0.061,0.838,29.33333333,0.85,30.37850285,,63.7452875970823,62.524408871261,62.3418977740629
6325,12,0.012,0.3,2.605714286,,55.283075,Secchi = 0 set to NA,39.9951040582221,39.4356744269896,
6326,32,0.032,0.498,11.49333333,1.05,34.41371419,,54.5537358085745,53.3634498197561,59.2969337343185
6341,256,0.256,1.511,12.88,0.2,13.05198849,,55.6711788198336,82.8915197116098,83.1920003181754
6342,43,0.043,0.824,15.62,0.62,42.37511981,,57.5632965366772,57.5590416428486,66.8884958915886
6344,414,0.414,1.553,13.44,1.425,8.29513193,,56.088688637282,89.7172968283195,54.896384164286
6345,483,0.483,2.498,133.14,0.15,11.4366146,,78.5846458325528,91.9062364818665,87.3374989822056
6346,45,0.045,0.968,14.688,0.95,47.56801476,,56.9597724803445,58.2046073547385,60.7391363721246
6347,16,0.016,0.52,5.2,3.375,71.8679975,,46.7733411170122,43.5207598558049,42.4717433764841
6359,15,0.015,0.041,0.864,4.65,6.044282867,,29.165949575153,42.6043128556514,37.8537433655746
6361,77,0.077,1.348,8.586666667,0.3,38.71251174,,51.6935661096733,65.8320369903223,77.3492481103367
6362,27,0.027,0.348,2.74,1.75,28.50149644,,40.4880671991238,50.9508834972615,51.9359364958506
6372,30,0.03,0.18,4.52,2.6,13.267938,,45.398502659611,52.4470028196026,46.2310800771547
6373,158,0.158,1.254,78.33333333,0.2,17.55062685,,73.3811473415026,76.0388494689829,83.1920003181754
6374,95,0.095,1.03,48.54545455,0.65,23.97539674,,68.687330554966,68.8150518607277,66.2075818208923
6381,50,0.05,1.923,29.92,0.55,85.04748258,,63.9395513719726,59.7007266770797,68.6148311808885
6393,129,0.129,0.991,49.76,,16.98776041,,68.9297443091074,73.1593361419357,
6394,120,0.12,1.099,109.584,0.6,20.25203314,,76.674542422649,72.1323827475051,67.3609972384679
6395,628,0.628,1.794,69.6,0.3,6.317059653,,72.2215204056091,95.6340703638484,77.3492481103367
6396,25,0.025,0.379,13.376,1.35,33.52365668,,56.0418627727184,49.8580367131284,55.6754928227906
6397,37,0.037,0.238,4.697142857,1.35,14.22418578,,45.7756228710131,55.425034359548,55.6754928227906
6398,12,0.012,0.115,2.05,3.5,21.19184542,,37.6420083708046,39.4356744269896,41.9476856239817
6399,38,0.038,0.291,13.248,1.2,16.93407876,,55.9475351228769,55.8037234681147,57.3727463665991
6400,26,0.026,0.094,2.034285714,3.125,7.994783154,,37.5665200640909,50.4149708399051,43.5807519792557
6402,49,0.049,0.779,2.52,3.075,35.1555228,,39.6669798239439,59.4138482331709,43.8131763728653
6403,25,0.025,1.129,4.658333333,3.8,99.86334668,,45.6942323342577,49.8580367131284,40.762634628387
6404,261,0.261,1.194,50.4,0.185,10.11616729,,69.0551134275085,83.1661897839823,84.3154261307539
6411,25,0.025,1.373,10.8,1.4,121.4458592,,53.943347575817,49.8580367131284,55.1514350702883
6412,52,0.052,1.503,0.05,1.37,63.91573979,,1.21186639643535,60.2576608038563,55.4635772389051
6414,212,0.212,0.554,25.6,0.225,5.778645953,,62.4098309680729,80.2135251003426,81.4947467743669
6415,33,0.033,0.439,25.76,0.95,29.41729688,,62.4709526611267,53.800407372824,60.7391363721246
6416,493,0.493,4.738,104,0.165,21.2520251,,76.1614747205769,92.1972302714062,85.9640792912252
6417,126,0.126,1.951,23.36,0.45,34.24040613,,61.5115567995879,72.825203078711,71.5064959024981
6421,47,0.047,0.628,9.92,1.225,29.54703923,,53.1095641579214,58.8220959442828,57.0756224380077
6422,35,0.035,0.913,1.92,4.75,57.68393997,,36.9993100750494,54.6359424731497,37.5471360539492
6424,63,0.063,0.53,7.656,1.3,18.60319349,,50.5681535072179,62.9825131147598,56.2193309490235
6427,17,0.017,0.098,0.60020141,,12.74762671,Secchi = 0 set to NA,25.5920931317677,44.3816294855983,
6428,75,0.075,0.775,22.56,1.2,22.85033767,,61.1697103652389,65.4583312122156,57.3727463665991
6437,28,0.028,0.504,12.59354839,1.23,39.803814,,55.4505414192892,51.4673040444879,57.0169258191719
6438,37,0.037,0.184,19,1.53,10.99684951,,59.4849463856228,55.425034359548,53.8718919328234
6440,71,0.071,1.105,6.376,,34.41566077,Secchi = 0 set to NA,48.7734266359964,64.6800542539867,
6444,22,0.022,0.053,1.348,7.35,5.327278136,,33.529481942528,48.0428028376881,31.2563684864314
6445,119,0.119,1.329,3.112,4,24.69620392,,41.7369555979614,72.0135536021837,40.0234982562624
