Lab_Name,Project,SiteName,Monitoring Location ID,Monitoring Location Latitude,Monitoring Location Longitude,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Genus,Taxon,Division,NumberinStand,RankinStand,RelativeDensity,turalUnitsperML,CellperML,CellVolume_u3mL
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,17,4,0,47.6,48,38080
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,,unknown spherical chlorophyta,Chlorophyta,1,7,0,2.8,3,2800
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/12/2006,Total Plankton Sample,,Surface,Water column,Aphanizomenon,Aphanizomenon flos-aquae,Cyanophyta,123,1,81.1,688.8,42017,13087200
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/12/2006,Total Plankton Sample,,Surface,Water column,Centric diatom,centric diatoms,Bacillariophyta,500,2,12.1,2800,2800,1960000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/12/2006,Total Plankton Sample,,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,5,3,6.8,28,28,1089984
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/16/2007,Total Plankton Sample,,.5 m.,Water column,Dolichospermum,Anabaena species,Cyanophyta,20,2,11,56,1512,2800000
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/16/2007,Total Plankton Sample,,.5 m.,Water column,Ankistrodesmus,Ankistrodesmus falcatus,Chlorophyta,1,3,0,2.8,3,2198
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,8/16/2007,Total Plankton Sample,,.5 m.,Water column,Ceratium,Ceratium hirundinella,Dinophyta,207,1,89,579.6,580,22562670
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/27/2007,Total Plankton Sample,,Surface,Water column,Closteriopsis,Closteriopsis longissima var. tropica,Chlorophyta,1,5,0.4,2.8,3,2800
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/27/2007,Total Plankton Sample,,Surface,Water column,Euglena,Euglena species,Euglenophyta,1,3,2.8,2.8,3,20720
