Activity Relative Depth,Characteristic Name,Sample Fraction,Parameter,Fraction,Depth
Surface,Total Coliform,Total,Total Coliform,Total,Surface
Bottom,Total Coliform,Total,Total Coliform,Total,Bottom
Surface,Total dissolved solids,,Total dissolved solids,Dissolved,Surface
Bottom,Total dissolved solids,,Total dissolved solids,Dissolved,Bottom
Surface,Total dissolved solids,Total,Total dissolved solids,Dissolved,Surface
,Total dissolved solids,,Total dissolved solids,Dissolved,
Surface,Total fixed solids,,Total fixed solids,Total,Surface
Bottom,Total fixed solids,,Total fixed solids,Total,Bottom
,Total fixed solids,,Total fixed solids,Total,
Surface,Total suspended solids,,Total suspended solids,Total,Surface
,Total suspended solids,,Total suspended solids,Total,
Bottom,Total suspended solids,,Total suspended solids,Total,Bottom
Surface,Total suspended solids,Total,Total suspended solids,Total,Surface
Surface,Total volatile solids,,Total volatile solids,Total,Surface
Bottom,Total volatile solids,,Total volatile solids,Total,Bottom
,Total volatile solids,,Total volatile solids,Total,
Surface,Total volatile solids,Total,Total volatile solids,Total,Surface
Surface,Toxaphene,Total,Toxaphene,Total,Surface
Bottom,Toxaphene,Total,Toxaphene,Total,Bottom
,Toxaphene,Total,Toxaphene,Total,
Surface,TSS,,Total suspended solids,Total,Surface
,TSS,,Total suspended solids,Total,
Surface,TURB,,Turbidity,N/A,Surface
,TURB,,Turbidity,N/A,
Surface,Turbidity,Total,Turbidity,N/A,Surface
Bottom,Turbidity,Total,Turbidity,N/A,Bottom
,Turbidity,,Turbidity,N/A,
Surface,Turbidity,,Turbidity,N/A,Surface
Surface,VSS,,VSS,,Surface
,VSS,,VSS,,
Surface,Zinc,Dissolved,Zinc,Dissolved,Surface
Surface,Zinc,Acid Soluble,Zinc,Total,Surface
Bottom,Zinc,Acid Soluble,Zinc,Total,Bottom
Bottom,Zinc,Dissolved,Zinc,Dissolved,Bottom
,Zinc,Dissolved,Zinc,Dissolved,
